drama;CP_lastframe;HE
Blue Whisper;T;T
10 Miles of Peach Blossoms;T;T
Luoyang;F;F
Word of Honor;T;T
Song of Glory;F;F
Rise of the Phoenixes;T;F
Guardian;F;F
Bloody Romance;F;F
Goodbye my Princess;F;F
Princess Agents;F;F
The Wolf;T;F
Ashes of Love;F;T
The Untamed;F;T
The Long Ballad;F;T
Oriental Odyssey;F;F
Nirvana in Fire;F;F
Longest Day in Chang An;F;F
Chinese Paladin;F;F
Demon Girl;F;F
Legend of Fu Yao;F;T
Romance of Hua Song;T;T
Chinese Paladin 3;T;F
The Myth;F;F
Sound of the Desert;F;T
Nothing Gold Can Stay;F;F
Under the Power;T;T
The Sword and the Brocade;T;T
Love and Redemption;T;T
The Imperial Coroner;F;T
